GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Thu May 22 02:26:43 IST 2014

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
65	79	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 5.
65	80	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 5.
66	81	1	4.85733391360706E10	90.0	1.2	0.5	5.0	0.2	Generation 6.
66	82	1	5.15336580409423E10	90.0	1.2	0.5	6.0	0.28	Generation 6.
67	83	1	4.90761174000603E10	90.0	0.9	0.8	7.5	0.28	Generation 6.
68	84	1	5.15554346645737E10	180.0	1.2	0.7	6.5	0.25	Generation 6.
69	85	1	6.63928309537751E10	180.0	1.5	0.8	5.0	0.67	Generation 6.
69	86	1	4.9676654250008E10	90.0	0.9	1.1	8.5	0.25	Generation 6.
69	87	1	5.31160167769487E10	180.0	0.6	1.1	6.5	0.67	Generation 6.
69	88	1	5.14929192239339E10	90.0	1.2	0.6	7.5	0.28	Generation 6.
69	89	1	5.36088990930727E10	0.0	1.8	1.0	7.5	0.28	Generation 6.
69	90	1	4.9715425438895E10	180.0	0.9	0.8	7.0	0.25	Generation 6.
70	91	1	6.04598665600028E10	180.0	1.2	0.9	6.5	0.67	Generation 6.
70	92	1	5.07117923778066E10	90.0	0.9	0.9	9.5	0.25	Generation 6.
70	93	1	4.95789798290302E10	90.0	1.2	1.0	6.5	0.2	Generation 6.
71	94	1	5.63652829899176E10	90.0	1.8	1.0	8.5	0.28	Generation 6.
71	95	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 6.
71	96	1	5.0518816647591E10	180.0	0.9	0.4	7.5	0.28	Generation 6.
71	97	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 7.
71	98	1	5.15336580409423E10	90.0	1.2	0.5	6.0	0.28	Generation 7.
71	99	1	4.88623347560965E10	90.0	0.9	0.8	7.5	0.25	Generation 7.
71	100	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 7.
72	101	1	5.24742405385546E10	180.0	1.5	0.8	5.0	0.2	Generation 7.
72	102	1	4.98613719406512E10	90.0	0.9	1.1	8.5	0.28	Generation 7.
72	103	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 7.
73	104	1	5.14353523889386E10	90.0	1.2	0.7	7.5	0.28	Generation 7.
73	105	1	5.36088990930727E10	0.0	1.8	1.0	7.5	0.28	Generation 7.
73	106	1	4.9715425438895E10	180.0	0.9	0.8	7.0	0.25	Generation 7.
74	107	1	5.05502927675215E10	180.0	1.2	0.9	6.5	0.2	Generation 7.
75	108	1	5.03448823421069E10	90.0	0.9	0.8	9.5	0.2	Generation 7.
76	109	1	5.7875550736732E10	90.0	1.2	1.0	6.5	0.67	Generation 7.
77	110	1	6.48300774310047E10	90.0	1.8	0.9	8.5	0.67	Generation 7.
77	111	1	5.59486975517845E10	90.0	0.9	0.4	7.5	0.67	Generation 7.
77	112	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 7.
77	113	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 8.
78	114	1	5.90219305339195E10	90.0	1.2	0.5	5.5	0.67	Generation 8.
79	115	1	4.84019508608171E10	90.0	0.9	0.9	7.0	0.25	Generation 8.
80	116	1	5.06084320526569E10	180.0	1.2	0.6	6.0	0.2	Generation 8.
81	117	1	5.50345058880391E10	180.0	1.5	0.7	5.0	0.28	Generation 8.
82	118	1	4.920919997211E10	90.0	0.9	1.1	8.0	0.25	Generation 8.
82	119	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 8.
83	120	1	4.8435883235699E10	90.0	0.9	0.8	7.0	0.25	Generation 8.
84	121	1	5.01917347512426E10	0.0	1.5	1.0	7.0	0.2	Generation 8.
85	122	1	5.04810604562481E10	180.0	0.9	0.9	7.5	0.28	Generation 8.
86	123	1	4.97352437728512E10	180.0	0.9	1.0	6.5	0.25	Generation 8.
87	124	1	4.98894900498017E10	90.0	0.9	0.7	9.0	0.2	Generation 8.
88	125	1	5.00647868335159E10	90.0	1.2	0.9	6.0	0.28	Generation 8.
89	126	1	5.40041488918207E10	90.0	1.5	0.8	8.0	0.28	Generation 8.
89	127	1	5.05316947264624E10	90.0	0.9	0.4	7.5	0.28	Generation 8.
89	128	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 8.
89	129	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 9.
90	130	1	4.92405531033582E10	90.0	1.2	0.6	6.0	0.2	Generation 9.
91	131	1	4.83714197908213E10	90.0	0.9	1.0	7.0	0.25	Generation 9.
91	132	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 9.
92	133	1	5.07372028438608E10	180.0	1.2	0.9	5.5	0.2	Generation 9.
93	134	1	5.45359302368197E10	90.0	0.9	1.1	7.5	0.67	Generation 9.
93	135	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 9.
93	136	1	4.84019508608171E10	90.0	0.9	0.9	7.0	0.25	Generation 9.
93	137	1	5.01917347512426E10	0.0	1.5	1.0	7.0	0.2	Generation 9.
94	138	1	4.97457710231137E10	180.0	0.9	0.9	7.5	0.25	Generation 9.
95	139	1	5.05293300910589E10	180.0	0.9	1.0	6.5	0.28	Generation 9.
96	140	1	4.9839926111658E10	90.0	0.9	0.7	8.5	0.25	Generation 9.
97	141	1	4.91190349707601E10	90.0	1.2	1.0	6.0	0.2	Generation 9.
98	142	1	5.11856580556936E10	90.0	1.2	0.7	8.0	0.2	Generation 9.
99	143	1	4.85008156744607E10	90.0	0.9	0.5	7.5	0.2	Generation 9.
99	144	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 9.
99	145	1	4.85733391360706E10	90.0	1.2	0.5	5.0	0.2	Generation 10.
100	146	1	4.96412845489552E10	90.0	1.2	0.8	6.5	0.2	Generation 10.
100	147	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 10.
101	148	1	5.00900698895424E10	90.0	1.2	0.9	7.0	0.2	Generation 10.
102	149	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Generation 10.
103	150	1	4.84268466454712E10	180.0	0.6	1.1	7.5	0.28	Generation 10.
103	151	1	5.31160167769487E10	180.0	0.6	1.1	6.5	0.67	Generation 10.
104	152	1	4.78705219295548E10	180.0	0.6	1.0	6.5	0.25	Generation 10.
104	153	1	4.95789798290302E10	90.0	1.2	1.0	6.5	0.2	Generation 10.
105	154	1	5.48368025088593E10	90.0	0.9	0.9	7.5	0.67	Generation 10.
100	155	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 10.
105	156	1	4.88623347560965E10	90.0	0.9	0.8	7.5	0.25	Generation 10.
106	157	1	4.87970970481447E10	90.0	1.2	0.8	5.5	0.2	Generation 10.
107	158	1	4.89474247846378E10	90.0	0.9	0.6	7.5	0.25	Generation 10.
108	159	1	4.91164651011529E10	90.0	0.9	0.7	7.5	0.28	Generation 10.
108	160	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 10.
102	149	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Minimum point.
102	161	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Minimum point of initialization.
109	162	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Initial point.
117	163	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Global search reduced cost.
117	164	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.5'.
129	165	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Global search reduced cost.
129	166	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.25'.
129	167	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
151	168	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Global search reduced cost.
151	169	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
167	170	1	4.65123287141067E10	90.0	0.6	1.06875	5.53125	0.2	Global search reduced cost.
167	171	1	4.65123287141067E10	90.0	0.6	1.06875	5.53125	0.2	Iteration step did not reduce cost. Maximum number of step reductions reached.
167	171	1	4.65123287141067E10	90.0	0.6	1.06875	5.53125	0.2	Minimum point.
