GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Thu May 22 02:26:43 IST 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
70	93	1	1	4.95789798290302E10	90.0	1.2	1.0	6.5	0.2	Generation 6.
71	94	1	1	5.63652829899176E10	90.0	1.8	1.0	8.5	0.28	Generation 6.
71	95	1	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 6.
71	96	1	1	5.0518816647591E10	180.0	0.9	0.4	7.5	0.28	Generation 6.
71	97	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 7.
71	98	1	1	5.15336580409423E10	90.0	1.2	0.5	6.0	0.28	Generation 7.
71	99	1	1	4.88623347560965E10	90.0	0.9	0.8	7.5	0.25	Generation 7.
71	100	1	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 7.
72	101	1	1	5.24742405385546E10	180.0	1.5	0.8	5.0	0.2	Generation 7.
72	102	1	1	4.98613719406512E10	90.0	0.9	1.1	8.5	0.28	Generation 7.
72	103	1	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 7.
73	104	1	1	5.14353523889386E10	90.0	1.2	0.7	7.5	0.28	Generation 7.
73	105	1	1	5.36088990930727E10	0.0	1.8	1.0	7.5	0.28	Generation 7.
73	106	1	1	4.9715425438895E10	180.0	0.9	0.8	7.0	0.25	Generation 7.
74	107	1	1	5.05502927675215E10	180.0	1.2	0.9	6.5	0.2	Generation 7.
75	108	1	1	5.03448823421069E10	90.0	0.9	0.8	9.5	0.2	Generation 7.
76	109	1	1	5.7875550736732E10	90.0	1.2	1.0	6.5	0.67	Generation 7.
77	110	1	1	6.48300774310047E10	90.0	1.8	0.9	8.5	0.67	Generation 7.
77	111	1	1	5.59486975517845E10	90.0	0.9	0.4	7.5	0.67	Generation 7.
77	112	1	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 7.
77	113	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 8.
78	114	1	1	5.90219305339195E10	90.0	1.2	0.5	5.5	0.67	Generation 8.
79	115	1	1	4.84019508608171E10	90.0	0.9	0.9	7.0	0.25	Generation 8.
80	116	1	1	5.06084320526569E10	180.0	1.2	0.6	6.0	0.2	Generation 8.
81	117	1	1	5.50345058880391E10	180.0	1.5	0.7	5.0	0.28	Generation 8.
82	118	1	1	4.920919997211E10	90.0	0.9	1.1	8.0	0.25	Generation 8.
82	119	1	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 8.
83	120	1	1	4.8435883235699E10	90.0	0.9	0.8	7.0	0.25	Generation 8.
84	121	1	1	5.01917347512426E10	0.0	1.5	1.0	7.0	0.2	Generation 8.
85	122	1	1	5.04810604562481E10	180.0	0.9	0.9	7.5	0.28	Generation 8.
86	123	1	1	4.97352437728512E10	180.0	0.9	1.0	6.5	0.25	Generation 8.
87	124	1	1	4.98894900498017E10	90.0	0.9	0.7	9.0	0.2	Generation 8.
88	125	1	1	5.00647868335159E10	90.0	1.2	0.9	6.0	0.28	Generation 8.
89	126	1	1	5.40041488918207E10	90.0	1.5	0.8	8.0	0.28	Generation 8.
89	127	1	1	5.05316947264624E10	90.0	0.9	0.4	7.5	0.28	Generation 8.
89	128	1	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 8.
89	129	1	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 9.
90	130	1	1	4.92405531033582E10	90.0	1.2	0.6	6.0	0.2	Generation 9.
91	131	1	1	4.83714197908213E10	90.0	0.9	1.0	7.0	0.25	Generation 9.
91	132	1	1	5.05614173737238E10	180.0	1.2	0.7	6.5	0.2	Generation 9.
92	133	1	1	5.07372028438608E10	180.0	1.2	0.9	5.5	0.2	Generation 9.
93	134	1	1	5.45359302368197E10	90.0	0.9	1.1	7.5	0.67	Generation 9.
93	135	1	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 9.
93	136	1	1	4.84019508608171E10	90.0	0.9	0.9	7.0	0.25	Generation 9.
93	137	1	1	5.01917347512426E10	0.0	1.5	1.0	7.0	0.2	Generation 9.
94	138	1	1	4.97457710231137E10	180.0	0.9	0.9	7.5	0.25	Generation 9.
95	139	1	1	5.05293300910589E10	180.0	0.9	1.0	6.5	0.28	Generation 9.
96	140	1	1	4.9839926111658E10	90.0	0.9	0.7	8.5	0.25	Generation 9.
97	141	1	1	4.91190349707601E10	90.0	1.2	1.0	6.0	0.2	Generation 9.
98	142	1	1	5.11856580556936E10	90.0	1.2	0.7	8.0	0.2	Generation 9.
99	143	1	1	4.85008156744607E10	90.0	0.9	0.5	7.5	0.2	Generation 9.
99	144	1	1	4.91110746907351E10	180.0	0.9	0.4	7.5	0.2	Generation 9.
99	145	1	1	4.85733391360706E10	90.0	1.2	0.5	5.0	0.2	Generation 10.
100	146	1	1	4.96412845489552E10	90.0	1.2	0.8	6.5	0.2	Generation 10.
100	147	1	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 10.
101	148	1	1	5.00900698895424E10	90.0	1.2	0.9	7.0	0.2	Generation 10.
102	149	1	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Generation 10.
103	150	1	1	4.84268466454712E10	180.0	0.6	1.1	7.5	0.28	Generation 10.
103	151	1	1	5.31160167769487E10	180.0	0.6	1.1	6.5	0.67	Generation 10.
104	152	1	1	4.78705219295548E10	180.0	0.6	1.0	6.5	0.25	Generation 10.
104	153	1	1	4.95789798290302E10	90.0	1.2	1.0	6.5	0.2	Generation 10.
105	154	1	1	5.48368025088593E10	90.0	0.9	0.9	7.5	0.67	Generation 10.
100	155	1	1	4.78736188512614E10	180.0	0.6	1.1	6.5	0.25	Generation 10.
105	156	1	1	4.88623347560965E10	90.0	0.9	0.8	7.5	0.25	Generation 10.
106	157	1	1	4.87970970481447E10	90.0	1.2	0.8	5.5	0.2	Generation 10.
107	158	1	1	4.89474247846378E10	90.0	0.9	0.6	7.5	0.25	Generation 10.
108	159	1	1	4.91164651011529E10	90.0	0.9	0.7	7.5	0.28	Generation 10.
108	160	1	1	4.85513108112091E10	90.0	0.9	0.4	7.5	0.2	Generation 10.
102	149	2	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Minimum point.
102	161	1	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Minimum point of initialization.
109	162	1	1	4.71157184641628E10	90.0	0.9	1.0	6.0	0.2	Initial point.
110	163	1	1	4.90548343866238E10	180.0	0.9	1.0	6.0	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
111	163	2	1	4.79869409560578E10	0.0	0.9	1.0	6.0	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
112	163	3	1	4.91190349707601E10	90.0	1.2	1.0	6.0	0.2	Cost not reduced at wwr_height1+dwwr_height1.
113	163	4	1	4.65639768407173E10	90.0	0.6	1.0	6.0	0.2	Cost reduced     at wwr_height1-dwwr_height1.
114	163	5	1	4.65673040573209E10	90.0	0.6	1.1	6.0	0.2	Cost not reduced at depth+ddepth.
115	163	6	1	4.65875904176673E10	90.0	0.6	0.9	6.0	0.2	Cost not reduced at depth-ddepth.
116	163	7	1	4.66735939389837E10	90.0	0.6	1.0	6.5	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
117	163	8	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
117	163	9	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Global search reduced cost.
118	164	1	1	4.65754486554756E10	90.0	0.6	1.0	5.0	0.2	Cost reduced     at wwr_height1+dwwr_height1.
119	164	2	1	4.65773746167451E10	90.0	0.6	1.1	5.0	0.2	Cost not reduced at depth+ddepth.
120	164	3	1	4.65947715466185E10	90.0	0.6	0.9	5.0	0.2	Cost not reduced at depth-ddepth.
120	164	4	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
121	164	5	1	4.76616280417444E10	180.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
122	164	6	1	4.69696938717217E10	0.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
123	164	7	1	4.68136650826931E10	90.0	0.9	1.0	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
124	164	8	1	4.65275311334605E10	90.0	0.6	1.1	5.5	0.2	Cost not reduced at depth+ddepth.
125	164	9	1	4.6545422011401E10	90.0	0.6	0.9	5.5	0.2	Cost not reduced at depth-ddepth.
125	164	10	1	4.65639768407173E10	90.0	0.6	1.0	6.0	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
125	164	11	1	4.65754486554756E10	90.0	0.6	1.0	5.0	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
117	164	12	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.5'.
125	165	1	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Exploration base, Delta = 0.5.
126	165	2	1	4.71909064979923E10	135.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
127	165	3	1	4.69612353817744E10	45.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
128	165	4	1	4.72271159758363E10	90.0	0.75	1.0	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
129	165	5	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Cost reduced     at depth+ddepth.
130	165	6	1	4.65250886831276E10	90.0	0.6	1.05	5.75	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
131	165	7	1	4.65287313431012E10	90.0	0.6	1.05	5.25	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
129	165	8	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Global search reduced cost.
131	166	1	1	4.65275311334605E10	90.0	0.6	1.1	5.5	0.2	Exploration base, Delta = 0.5.
132	166	2	1	4.71923665923655E10	135.0	0.6	1.1	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
133	166	3	1	4.69621801773527E10	45.0	0.6	1.1	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
134	166	4	1	4.71996039029542E10	90.0	0.75	1.1	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
135	166	5	1	4.65205048667353E10	90.0	0.6	1.15	5.5	0.2	Cost reduced     at depth+ddepth.
136	166	6	1	4.65295666898978E10	90.0	0.6	1.15	5.75	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
137	166	7	1	4.65328780209646E10	90.0	0.6	1.15	5.25	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
138	166	8	1	4.71856450659937E10	135.0	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
139	166	9	1	4.69545274094161E10	45.0	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
140	166	10	1	4.72103642670751E10	90.0	0.75	1.05	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
140	166	11	1	4.65275311334605E10	90.0	0.6	1.1	5.5	0.2	Cost not reduced at depth+ddepth.
140	166	12	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Cost not reduced at depth-ddepth.
140	166	13	1	4.65250886831276E10	90.0	0.6	1.05	5.75	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
140	166	14	1	4.65287313431012E10	90.0	0.6	1.05	5.25	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
129	166	15	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.25'.
140	167	1	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Exploration base, Delta = 0.25.
141	167	2	1	4.67335533562471E10	112.5	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
142	167	3	1	4.67278373241781E10	67.5	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
143	167	4	1	4.68663692506697E10	90.0	0.675	1.05	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
144	167	5	1	4.65314103838496E10	90.0	0.6	1.075	5.5	0.2	Cost not reduced at depth+ddepth.
145	167	6	1	4.65196558692654E10	90.0	0.6	1.025	5.5	0.2	Cost not reduced at depth-ddepth.
146	167	7	1	4.65178804234758E10	90.0	0.6	1.05	5.625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
147	167	8	1	4.65189124735228E10	90.0	0.6	1.05	5.375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
147	167	9	1	4.67335533562471E10	112.5	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
147	167	10	1	4.67278373241781E10	67.5	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
147	167	11	1	4.68663692506697E10	90.0	0.675	1.05	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
147	167	12	1	4.65314103838496E10	90.0	0.6	1.075	5.5	0.2	Cost not reduced at depth+ddepth.
147	167	13	1	4.65196558692654E10	90.0	0.6	1.025	5.5	0.2	Cost not reduced at depth-ddepth.
147	167	14	1	4.65178804234758E10	90.0	0.6	1.05	5.625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
147	167	15	1	4.65189124735228E10	90.0	0.6	1.05	5.375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
129	167	16	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
147	168	1	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Exploration base, Delta = 0.125.
148	168	2	1	4.65566509765008E10	101.25	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
149	168	3	1	4.65507210015787E10	78.75	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
150	168	4	1	4.66945148376726E10	90.0	0.6375	1.05	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
151	168	5	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Cost reduced     at depth+ddepth.
152	168	6	1	4.65141843877635E10	90.0	0.6	1.0625	5.5625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
153	168	7	1	4.65143732643548E10	90.0	0.6	1.0625	5.4375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
151	168	8	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Global search reduced cost.
153	169	1	1	4.65314103838496E10	90.0	0.6	1.075	5.5	0.2	Exploration base, Delta = 0.125.
154	169	2	1	4.65713563374535E10	101.25	0.6	1.075	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
155	169	3	1	4.65647612145693E10	78.75	0.6	1.075	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
156	169	4	1	4.66905484497688E10	90.0	0.6375	1.075	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
157	169	5	1	4.65294555098736E10	90.0	0.6	1.0875	5.5	0.2	Cost reduced     at depth+ddepth.
158	169	6	1	4.65303706298213E10	90.0	0.6	1.0875	5.5625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
159	169	7	1	4.65300998370212E10	90.0	0.6	1.0875	5.4375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
160	169	8	1	4.65549489073579E10	101.25	0.6	1.0625	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
161	169	9	1	4.6548013818692E10	78.75	0.6	1.0625	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
162	169	10	1	4.66925357641704E10	90.0	0.6375	1.0625	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
162	169	11	1	4.65314103838496E10	90.0	0.6	1.075	5.5	0.2	Cost not reduced at depth+ddepth.
162	169	12	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Cost not reduced at depth-ddepth.
162	169	13	1	4.65141843877635E10	90.0	0.6	1.0625	5.5625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
162	169	14	1	4.65143732643548E10	90.0	0.6	1.0625	5.4375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
151	169	15	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
162	170	1	1	4.65134929393008E10	90.0	0.6	1.0625	5.5	0.2	Exploration base, Delta = 0.0625.
163	170	2	1	4.65291268501572E10	95.625	0.6	1.0625	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
164	170	3	1	4.65143650427764E10	84.375	0.6	1.0625	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
165	170	4	1	4.65995007215105E10	90.0	0.61875	1.0625	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
166	170	5	1	4.65125065673211E10	90.0	0.6	1.06875	5.5	0.2	Cost reduced     at depth+ddepth.
167	170	6	1	4.65123287141067E10	90.0	0.6	1.06875	5.53125	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
167	170	7	1	4.65123287141067E10	90.0	0.6	1.06875	5.53125	0.2	Global search reduced cost.
168	171	1	1	4.65323672870011E10	90.0	0.6	1.075	5.5625	0.2	Exploration base, Delta = 0.0625.
169	171	2	1	4.65474150449045E10	95.625	0.6	1.075	5.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
170	171	3	1	4.65293602114608E10	84.375	0.6	1.075	5.5625	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
171	171	4	1	4.65963952927262E10	84.375	0.61875	1.075	5.5625	0.2	Cost not reduced at wwr_height1+dwwr_height1.
172	171	5	1	4.65282869308513E10	84.375	0.6	1.08125	5.5625	0.2	Cost reduced     at depth+ddepth.
173	171	6	1	4.65286649482826E10	84.375	0.6	1.08125	5.59375	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
174	171	7	1	4.65286304465627E10	84.375	0.6	1.08125	5.53125	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
175	171	8	1	4.65124319524024E10	84.375	0.6	1.06875	5.53125	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
176	171	9	1	4.65289063207466E10	95.625	0.6	1.06875	5.53125	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
