GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sat Nov 15 21:54:14 UTC 2014

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	azimuth_angle	lbybratio_length	shgc
49	107	1	5.45206184846484E10	0.0	7.0	0.2	Generation 7.
47	108	1	5.45760486794623E10	0.0	7.5	0.2	Generation 7.
47	109	1	5.83140582858348E10	90.0	7.0	0.2	Generation 7.
49	110	1	5.84310874355325E10	90.0	6.5	0.28	Generation 7.
49	111	1	5.45206184846484E10	0.0	7.0	0.2	Generation 7.
47	112	1	5.45760486794623E10	0.0	7.5	0.2	Generation 7.
49	113	1	5.77565340672574E10	90.0	5.0	0.25	Generation 8.
49	114	1	5.46986174969906E10	0.0	8.0	0.2	Generation 8.
49	115	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	116	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	117	1	5.7717402657547E10	90.0	6.5	0.2	Generation 8.
49	118	1	5.84310874355325E10	90.0	6.5	0.28	Generation 8.
49	119	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	120	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	121	1	5.46986174969906E10	0.0	8.0	0.2	Generation 8.
49	122	1	5.7717402657547E10	90.0	6.5	0.2	Generation 8.
49	123	1	5.45206184846484E10	0.0	7.0	0.2	Generation 8.
49	124	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	125	1	5.89598616227187E10	90.0	7.0	0.28	Generation 8.
49	126	1	5.71539883301011E10	90.0	6.0	0.2	Generation 8.
49	127	1	5.45206184846484E10	0.0	7.0	0.2	Generation 8.
49	128	1	5.45760486794623E10	0.0	7.5	0.2	Generation 8.
49	129	1	5.79700541851504E10	90.0	6.0	0.28	Generation 9.
49	130	1	5.46986174969906E10	0.0	8.0	0.2	Generation 9.
49	131	1	5.45760486794623E10	0.0	7.5	0.2	Generation 9.
49	132	1	5.45760486794623E10	0.0	7.5	0.2	Generation 9.
50	133	1	7.02643872423808E10	90.0	7.0	0.67	Generation 9.
50	134	1	7.01119314186731E10	90.0	6.5	0.67	Generation 9.
49	135	1	5.45760486794623E10	0.0	7.5	0.2	Generation 9.
49	136	1	5.45760486794623E10	0.0	7.5	0.2	Generation 9.
49	137	1	5.46986174969906E10	0.0	8.0	0.2	Generation 9.
50	138	1	5.7717402657547E10	90.0	6.5	0.2	Generation 9.
51	139	1	5.64658126161489E10	0.0	7.0	0.25	Generation 9.
51	140	1	5.71937841249266E10	0.0	7.5	0.28	Generation 9.
51	141	1	5.89598616227187E10	90.0	7.0	0.28	Generation 9.
51	142	1	5.71539883301011E10	90.0	6.0	0.2	Generation 9.
51	143	1	5.72634222037626E10	0.0	7.0	0.28	Generation 9.
51	144	1	5.71937841249266E10	0.0	7.5	0.28	Generation 9.
52	145	1	5.68633914381234E10	0.0	6.0	0.25	Generation 10.
52	146	1	5.45760486794623E10	0.0	7.5	0.2	Generation 10.
52	147	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
52	148	1	5.45760486794623E10	0.0	7.5	0.2	Generation 10.
52	149	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
53	150	1	7.02566125343601E10	0.0	7.0	0.67	Generation 10.
52	151	1	5.45760486794623E10	0.0	7.5	0.2	Generation 10.
52	152	1	5.45760486794623E10	0.0	7.5	0.2	Generation 10.
52	153	1	5.45760486794623E10	0.0	7.5	0.2	Generation 10.
54	154	1	5.74341304828227E10	0.0	6.5	0.28	Generation 10.
52	155	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
52	156	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
52	157	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
54	158	1	5.45527020934872E10	0.0	6.5	0.2	Generation 10.
52	159	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
52	160	1	5.45206184846484E10	0.0	7.0	0.2	Generation 10.
52	160	1	5.45206184846484E10	0.0	7.0	0.2	Minimum point.
52	161	1	5.45206184846484E10	0.0	7.0	0.2	Minimum point of initialization.
55	162	1	5.45206184846484E10	0.0	7.0	0.2	Initial point.
55	163	1	5.45206184846484E10	0.0	7.0	0.2	Iteration step did not reduce cost. Reduce step size to '0.5'.
55	164	1	5.45206184846484E10	0.0	7.0	0.2	Iteration step did not reduce cost. Reduce step size to '0.25'.
64	165	1	5.45198172812833E10	0.0	6.875	0.2	Global search reduced cost.
64	166	1	5.45198172812833E10	0.0	6.875	0.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
70	167	1	5.39668843055871E10	11.25	6.8125	0.2	Global search reduced cost.
73	168	1	5.39576923420523E10	11.25	6.6875	0.2	Global search reduced cost.
74	169	1	5.39540211225175E10	11.25	6.5625	0.2	Global search reduced cost.
74	170	1	5.39540211225175E10	11.25	6.5625	0.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
74	171	1	5.39540211225175E10	11.25	6.5625	0.2	Iteration step did not reduce cost. Maximum number of step reductions reached.
74	171	1	5.39540211225175E10	11.25	6.5625	0.2	Minimum point.
