GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sat Nov 15 21:54:14 UTC 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	azimuth_angle	lbybratio_length	shgc
64	166	1	1	5.45249335076617E10	0.0	6.75	0.2	Exploration base, Delta = 0.25.
65	166	2	1	5.47890389432709E10	22.5	6.75	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
66	166	3	1	5.45356265548869E10	0.0	6.625	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
66	166	4	1	5.45198172812833E10	0.0	6.875	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
67	166	5	1	5.4815434805501E10	22.5	6.875	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
67	166	6	1	5.45206184846484E10	0.0	7.0	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
67	166	7	1	5.45249335076617E10	0.0	6.75	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
64	166	8	1	5.45198172812833E10	0.0	6.875	0.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
67	167	1	1	5.45198172812833E10	0.0	6.875	0.2	Exploration base, Delta = 0.125.
68	167	2	1	5.39739195300471E10	11.25	6.875	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
69	167	3	1	5.39824566051113E10	11.25	6.9375	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
70	167	4	1	5.39668843055871E10	11.25	6.8125	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
70	167	5	1	5.39668843055871E10	11.25	6.8125	0.2	Global search reduced cost.
70	168	1	1	5.47890389432709E10	22.5	6.75	0.2	Exploration base, Delta = 0.125.
71	168	2	1	5.54093618059032E10	33.75	6.75	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
72	168	3	1	5.39612878139108E10	11.25	6.75	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
73	168	4	1	5.39576923420523E10	11.25	6.6875	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
73	168	5	1	5.39576923420523E10	11.25	6.6875	0.2	Global search reduced cost.
74	169	1	1	5.39540211225175E10	11.25	6.5625	0.2	Exploration base, Delta = 0.125.
75	169	2	1	5.45434392563668E10	0.0	6.5625	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
76	169	3	1	5.47576646635642E10	22.5	6.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
77	169	4	1	5.39547896818941E10	11.25	6.5	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
78	169	5	1	5.395500710776E10	11.25	6.625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
74	169	6	1	5.39540211225175E10	11.25	6.5625	0.2	Global search reduced cost.
79	170	1	1	5.39571148733103E10	11.25	6.4375	0.2	Exploration base, Delta = 0.125.
80	170	2	1	5.45629693034819E10	0.0	6.4375	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
81	170	3	1	5.47430324955226E10	22.5	6.4375	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
82	170	4	1	5.39610742452727E10	11.25	6.375	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
82	170	5	1	5.39547896818941E10	11.25	6.5	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
82	170	6	1	5.45434392563668E10	0.0	6.5625	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
82	170	7	1	5.47576646635642E10	22.5	6.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
82	170	8	1	5.395500710776E10	11.25	6.625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
82	170	9	1	5.39547896818941E10	11.25	6.5	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
74	170	10	1	5.39540211225175E10	11.25	6.5625	0.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
82	171	1	1	5.39540211225175E10	11.25	6.5625	0.2	Exploration base, Delta = 0.0625.
83	171	2	1	5.43436699285221E10	5.625	6.5625	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
84	171	3	1	5.44568194329656E10	16.875	6.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
85	171	4	1	5.39541716921628E10	11.25	6.59375	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
86	171	5	1	5.39543985974592E10	11.25	6.53125	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
86	171	6	1	5.43436699285221E10	5.625	6.5625	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
86	171	7	1	5.44568194329656E10	16.875	6.5625	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
86	171	8	1	5.39541716921628E10	11.25	6.59375	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
86	171	9	1	5.39543985974592E10	11.25	6.53125	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
74	171	10	1	5.39540211225175E10	11.25	6.5625	0.2	Iteration step did not reduce cost. Maximum number of step reductions reached.
74	171	11	1	5.39540211225175E10	11.25	6.5625	0.2	Minimum point.
