GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Jun 02 23:09:46 IST 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	azimuth_angle	wwr_height1	depth	lbybratio_length	shgc
72	78	1	1	5.53695386959432E10	80.0	1.8	1.9	8.1	0.25	Generation 5.
72	79	1	1	4.86439912161418E10	90.0	0.9	0.6	7.7	0.2	Generation 5.
73	80	1	1	4.92443622134492E10	160.0	0.9	0.7	7.7	0.2	Generation 5.
74	81	1	1	4.85733391360706E10	90.0	1.2	0.5	5.0	0.2	Generation 6.
75	82	1	1	5.06822717767266E10	110.0	1.2	0.7	6.2	0.28	Generation 6.
76	83	1	1	5.00285676683034E10	130.0	0.9	1.4	7.1	0.28	Generation 6.
77	84	1	1	5.14927507849278E10	170.0	1.2	1.2	6.6	0.25	Generation 6.
78	85	1	1	6.09230113504343E10	130.0	1.5	1.6	5.6	0.67	Generation 6.
79	86	1	1	4.89833894658798E10	100.0	0.9	2.1	7.8	0.25	Generation 6.
79	87	1	1	5.26979396085962E10	150.0	0.6	2.2	6.4	0.67	Generation 6.
80	88	1	1	5.1674459969252E10	110.0	1.2	1.2	7.7	0.28	Generation 6.
80	89	1	1	5.34183732360601E10	20.0	1.8	2.1	7.1	0.28	Generation 6.
81	90	1	1	4.96058014148844E10	140.0	0.9	1.6	7.2	0.25	Generation 6.
82	91	1	1	6.03496009791583E10	170.0	1.2	1.7	6.4	0.67	Generation 6.
83	92	1	1	4.98489830711766E10	130.0	0.9	1.6	9.4	0.25	Generation 6.
83	93	1	1	5.73403132642454E10	70.0	1.2	2.4	6.7	0.67	Generation 6.
84	94	1	1	5.51966599284663E10	80.0	1.8	1.8	8.0	0.28	Generation 6.
85	95	1	1	4.86092196275851E10	90.0	0.9	0.7	7.7	0.2	Generation 6.
85	96	1	1	5.05795579525785E10	160.0	0.9	0.7	7.7	0.28	Generation 6.
85	97	1	1	5.13556444897996E10	90.0	1.2	0.5	5.0	0.28	Generation 7.
86	98	1	1	5.07225132382654E10	110.0	1.2	0.8	6.3	0.28	Generation 7.
87	99	1	1	4.83275223028519E10	130.0	0.9	1.4	7.1	0.25	Generation 7.
88	100	1	1	5.0532885525967E10	170.0	1.2	1.2	6.6	0.2	Generation 7.
89	101	1	1	5.09669387038753E10	130.0	1.5	1.5	5.4	0.2	Generation 7.
90	102	1	1	4.91284277695996E10	110.0	0.9	2.1	7.6	0.28	Generation 7.
90	103	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 7.
91	104	1	1	5.15622977421007E10	110.0	1.2	1.3	7.6	0.28	Generation 7.
92	105	1	1	5.34308084014458E10	20.0	1.8	2.0	7.1	0.28	Generation 7.
93	106	1	1	4.96374484328995E10	140.0	0.9	1.6	7.3	0.25	Generation 7.
94	107	1	1	5.05054518044463E10	170.0	1.2	1.8	6.4	0.2	Generation 7.
95	108	1	1	4.90893206504622E10	130.0	0.9	1.5	9.2	0.2	Generation 7.
96	109	1	1	4.9519469891047E10	60.0	1.2	2.4	6.4	0.25	Generation 7.
97	110	1	1	6.30470631719039E10	80.0	1.8	1.7	8.0	0.67	Generation 7.
98	111	1	1	5.52356896694183E10	90.0	0.9	0.7	7.6	0.67	Generation 7.
98	112	1	1	4.92443622134492E10	160.0	0.9	0.7	7.7	0.2	Generation 7.
98	113	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 8.
99	114	1	1	5.86342119105671E10	120.0	1.2	1.0	6.5	0.67	Generation 8.
100	115	1	1	4.95245208912195E10	140.0	0.9	1.6	6.9	0.25	Generation 8.
101	116	1	1	5.05343452671654E10	160.0	1.2	1.3	6.7	0.2	Generation 8.
102	117	1	1	5.24423541232899E10	120.0	1.5	1.2	5.2	0.28	Generation 8.
103	118	1	1	4.86119401408577E10	120.0	0.9	2.1	7.3	0.25	Generation 8.
103	119	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 8.
104	120	1	1	4.85916192538125E10	120.0	0.9	1.6	7.2	0.25	Generation 8.
105	121	1	1	6.0507337029941E10	50.0	1.5	1.8	7.7	0.67	Generation 8.
106	122	1	1	5.01112341517191E10	130.0	0.9	1.7	7.4	0.28	Generation 8.
107	123	1	1	4.96514627591367E10	160.0	0.9	1.9	6.4	0.25	Generation 8.
108	124	1	1	4.9010196910978E10	130.0	0.9	1.5	9.1	0.2	Generation 8.
109	125	1	1	4.93435295268885E10	60.0	1.2	2.0	6.0	0.25	Generation 8.
110	126	1	1	5.34052216132131E10	80.0	1.5	1.4	7.9	0.28	Generation 8.
111	127	1	1	4.91263409166982E10	100.0	0.9	0.9	7.5	0.28	Generation 8.
112	128	1	1	4.94763483097865E10	140.0	0.9	0.7	7.7	0.2	Generation 8.
112	129	1	1	4.94213704474467E10	90.0	1.2	0.5	5.0	0.25	Generation 9.
113	130	1	1	5.06934505536139E10	110.0	1.2	0.9	6.3	0.28	Generation 9.
114	131	1	1	4.82207263387357E10	130.0	0.9	1.6	6.9	0.25	Generation 9.
115	132	1	1	5.05254938602621E10	160.0	1.2	1.2	6.6	0.2	Generation 9.
116	133	1	1	5.09616847592022E10	130.0	1.5	1.2	5.1	0.2	Generation 9.
117	134	1	1	5.52214220989163E10	130.0	0.9	2.1	7.0	0.67	Generation 9.
117	135	1	1	4.77627327899148E10	150.0	0.6	2.2	6.4	0.25	Generation 9.
118	136	1	1	4.82055339134472E10	130.0	0.9	1.8	6.9	0.25	Generation 9.
119	137	1	1	5.06934489105106E10	40.0	1.5	1.8	7.7	0.2	Generation 9.
120	138	1	1	4.83488094289022E10	130.0	0.9	1.7	7.2	0.25	Generation 9.
121	139	1	1	5.04232310156672E10	160.0	0.9	2.0	6.4	0.28	Generation 9.
122	140	1	1	4.93147815812691E10	130.0	0.9	1.5	8.7	0.25	Generation 9.
123	141	1	1	5.09502396377177E10	70.0	1.2	1.5	5.6	0.28	Generation 9.
124	142	1	1	5.06455227108665E10	80.0	1.2	1.1	7.8	0.2	Generation 9.
125	143	1	1	4.84806341972372E10	90.0	0.9	0.8	7.6	0.2	Generation 9.
126	144	1	1	4.93897375202593E10	150.0	0.9	0.7	7.7	0.2	Generation 9.
126	145	1	1	4.85733391360706E10	90.0	1.2	0.5	5.0	0.2	Generation 10.
127	146	1	1	4.74817581062585E10	120.0	0.9	1.0	6.3	0.2	Generation 10.
128	147	1	1	4.76614831296223E10	140.0	0.6	1.8	6.7	0.25	Generation 10.
129	148	1	1	4.89407438742964E10	150.0	0.9	1.4	6.7	0.2	Generation 10.
130	149	1	1	5.01969937068757E10	140.0	1.2	1.7	5.8	0.2	Generation 10.
131	150	1	1	4.80313271031626E10	130.0	0.6	2.2	6.9	0.28	Generation 10.
131	151	1	1	5.26979396085962E10	150.0	0.6	2.2	6.4	0.67	Generation 10.
132	152	1	1	4.76502063145766E10	140.0	0.6	2.0	6.6	0.25	Generation 10.
133	153	1	1	5.07238125413401E10	50.0	1.5	1.8	7.1	0.2	Generation 10.
134	154	1	1	5.52552505664257E10	130.0	0.9	1.7	7.1	0.67	Generation 10.
135	155	1	1	4.7766048920643E10	150.0	0.6	2.0	6.4	0.25	Generation 10.
136	156	1	1	5.0440045186818E10	130.0	0.9	1.6	8.1	0.28	Generation 10.
137	157	1	1	4.8490063378199E10	70.0	1.2	1.3	5.5	0.2	Generation 10.
138	158	1	1	4.88601301092438E10	100.0	0.9	1.2	7.5	0.25	Generation 10.
139	159	1	1	4.8910748376243E10	100.0	0.9	1.1	7.3	0.28	Generation 10.
139	160	1	1	4.94763483097865E10	140.0	0.9	0.7	7.7	0.2	Generation 10.
127	146	2	1	4.74817581062585E10	120.0	0.9	1.0	6.3	0.2	Minimum point.
127	161	1	1	4.74817581062585E10	120.0	0.9	1.0	6.3	0.2	Minimum point of initialization.
140	162	1	1	4.74817581062585E10	120.0	0.9	1.0	6.3	0.2	Initial point.
141	163	1	1	4.86913997025089E10	130.0	0.9	1.0	6.3	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
142	163	2	1	4.74968501338964E10	110.0	0.9	1.0	6.3	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
143	163	3	1	4.95837825968011E10	120.0	1.2	1.0	6.3	0.2	Cost not reduced at wwr_height1+dwwr_height1.
144	163	4	1	4.69285009613702E10	120.0	0.6	1.0	6.3	0.2	Cost reduced     at wwr_height1-dwwr_height1.
145	163	5	1	4.6932731395962E10	120.0	0.6	1.1	6.3	0.2	Cost not reduced at depth+ddepth.
146	163	6	1	4.69460218270025E10	120.0	0.6	0.9	6.3	0.2	Cost not reduced at depth-ddepth.
147	163	7	1	4.69483719640489E10	120.0	0.6	1.0	6.4	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
148	163	8	1	4.6911164253346E10	120.0	0.6	1.0	6.2	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
148	163	9	1	4.6911164253346E10	120.0	0.6	1.0	6.2	0.2	Global search reduced cost.
149	164	1	1	4.68966963079899E10	120.0	0.6	1.0	6.1	0.2	Cost reduced     at wwr_height1+dwwr_height1.
150	164	2	1	4.69003327219109E10	120.0	0.6	1.1	6.1	0.2	Cost not reduced at depth+ddepth.
151	164	3	1	4.69133171340414E10	120.0	0.6	0.9	6.1	0.2	Cost not reduced at depth-ddepth.
152	164	4	1	4.68849215653226E10	120.0	0.6	1.0	6.0	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
152	164	5	1	4.68849215653226E10	120.0	0.6	1.0	6.0	0.2	Global search reduced cost.
153	165	1	1	4.68689870956739E10	120.0	0.6	1.0	5.8	0.2	Exploration base, Delta = 1.0.
154	165	2	1	4.70539263731592E10	130.0	0.6	1.0	5.8	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
155	165	3	1	4.67098280325808E10	110.0	0.6	1.0	5.8	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
156	165	4	1	4.72191108939036E10	110.0	0.9	1.0	5.8	0.2	Cost not reduced at wwr_height1+dwwr_height1.
157	165	5	1	4.67121119592264E10	110.0	0.6	1.1	5.8	0.2	Cost not reduced at depth+ddepth.
158	165	6	1	4.67266318279958E10	110.0	0.6	0.9	5.8	0.2	Cost not reduced at depth-ddepth.
159	165	7	1	4.67019853309351E10	110.0	0.6	1.0	5.7	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
159	165	8	1	4.67019853309351E10	110.0	0.6	1.0	5.7	0.2	Global search reduced cost.
160	166	1	1	4.65567161559147E10	100.0	0.6	1.0	5.4	0.2	Exploration base, Delta = 1.0.
161	166	2	1	4.65261857881241E10	90.0	0.6	1.0	5.4	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
162	166	3	1	4.6762545037172E10	90.0	0.9	1.0	5.4	0.2	Cost not reduced at wwr_height1+dwwr_height1.
163	166	4	1	4.65294042254109E10	90.0	0.6	1.1	5.4	0.2	Cost not reduced at depth+ddepth.
164	166	5	1	4.65473482103063E10	90.0	0.6	0.9	5.4	0.2	Cost not reduced at depth-ddepth.
165	166	6	1	4.65324340964E10	90.0	0.6	1.0	5.3	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
166	166	7	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
166	166	8	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Global search reduced cost.
167	167	1	1	4.67332459123771E10	70.0	0.6	1.0	5.3	0.2	Exploration base, Delta = 1.0.
168	167	2	1	4.68886152026646E10	60.0	0.6	1.0	5.3	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
169	167	3	1	4.65691253802677E10	80.0	0.6	1.0	5.3	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
170	167	4	1	4.79678363999511E10	80.0	0.9	1.0	5.3	0.2	Cost not reduced at wwr_height1+dwwr_height1.
171	167	5	1	4.65659966248808E10	80.0	0.6	1.1	5.3	0.2	Cost reduced     at depth+ddepth.
172	167	6	1	4.65550726943829E10	80.0	0.6	1.1	5.4	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
173	167	7	1	4.65558931286806E10	100.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
174	167	8	1	4.65504181073953E10	80.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
175	167	9	1	4.68136650826931E10	90.0	0.9	1.0	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
176	167	10	1	4.65275311334605E10	90.0	0.6	1.1	5.5	0.2	Cost not reduced at depth+ddepth.
177	167	11	1	4.6545422011401E10	90.0	0.6	0.9	5.5	0.2	Cost not reduced at depth-ddepth.
178	167	12	1	4.65258291586728E10	90.0	0.6	1.0	5.6	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
178	167	13	1	4.65261857881241E10	90.0	0.6	1.0	5.4	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
166	167	14	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Iteration step did not reduce cost. Reduce step size to '0.5'.
178	168	1	1	4.6523858075613E10	90.0	0.6	1.0	5.5	0.2	Exploration base, Delta = 0.5.
179	168	2	1	4.65367768785172E10	95.0	0.6	1.0	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
180	168	3	1	4.65237641210455E10	85.0	0.6	1.0	5.5	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
181	168	4	1	4.72320549555999E10	85.0	0.75	1.0	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
182	168	5	1	4.65146870641697E10	85.0	0.6	1.05	5.5	0.2	Cost reduced     at depth+ddepth.
183	168	6	1	4.65139547877697E10	85.0	0.6	1.05	5.55	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
183	168	7	1	4.65139547877697E10	85.0	0.6	1.05	5.55	0.2	Global search reduced cost.
184	169	1	1	4.65441678945997E10	80.0	0.6	1.1	5.6	0.2	Exploration base, Delta = 0.5.
185	169	2	1	4.65989193300503E10	75.0	0.6	1.1	5.6	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
186	169	3	1	4.65263036530482E10	85.0	0.6	1.1	5.6	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
187	169	4	1	4.71997309572508E10	85.0	0.75	1.1	5.6	0.2	Cost not reduced at wwr_height1+dwwr_height1.
188	169	5	1	4.65185237652433E10	85.0	0.6	1.15	5.6	0.2	Cost reduced     at depth+ddepth.
189	169	6	1	4.65186185038082E10	85.0	0.6	1.15	5.65	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
190	169	7	1	4.65180161310921E10	85.0	0.6	1.15	5.55	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
191	169	8	1	4.65159153365536E10	90.0	0.6	1.05	5.55	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
192	169	9	1	4.65358455202257E10	80.0	0.6	1.05	5.55	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
193	169	10	1	4.72132027789221E10	85.0	0.75	1.05	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
194	169	11	1	4.6525708233265E10	85.0	0.6	1.1	5.55	0.2	Cost not reduced at depth+ddepth.
195	169	12	1	4.65231068341629E10	85.0	0.6	1.0	5.55	0.2	Cost not reduced at depth-ddepth.
195	169	13	1	4.65146870641697E10	85.0	0.6	1.05	5.5	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
196	169	14	1	4.65144374836054E10	85.0	0.6	1.05	5.6	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
183	169	15	1	4.65139547877697E10	85.0	0.6	1.05	5.55	0.2	Iteration step did not reduce cost. Reduce step size to '0.25'.
196	170	1	1	4.65139547877697E10	85.0	0.6	1.05	5.55	0.2	Exploration base, Delta = 0.25.
197	170	2	1	4.65131935282009E10	87.5	0.6	1.05	5.55	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
198	170	3	1	4.68628570764552E10	87.5	0.675	1.05	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
199	170	4	1	4.65283558750438E10	87.5	0.6	1.075	5.55	0.2	Cost not reduced at depth+ddepth.
200	170	5	1	4.6517277392007E10	87.5	0.6	1.025	5.55	0.2	Cost not reduced at depth-ddepth.
201	170	6	1	4.65127874374692E10	87.5	0.6	1.05	5.525	0.2	Cost reduced     at lbybratio_length-dlbybratio_length.
201	170	7	1	4.65127874374692E10	87.5	0.6	1.05	5.525	0.2	Global search reduced cost.
202	171	1	1	4.65155051067714E10	90.0	0.6	1.05	5.5	0.2	Exploration base, Delta = 0.25.
203	171	2	1	4.6521617593754E10	92.5	0.6	1.05	5.5	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
204	171	3	1	4.65129370951488E10	87.5	0.6	1.05	5.5	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
205	171	4	1	4.6861644389448E10	87.5	0.675	1.05	5.5	0.2	Cost not reduced at wwr_height1+dwwr_height1.
206	171	5	1	4.6527948607929E10	87.5	0.6	1.075	5.5	0.2	Cost not reduced at depth+ddepth.
207	171	6	1	4.6517007142317E10	87.5	0.6	1.025	5.5	0.2	Cost not reduced at depth-ddepth.
208	171	7	1	4.6513468860788E10	87.5	0.6	1.05	5.475	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
208	171	8	1	4.65127874374692E10	87.5	0.6	1.05	5.525	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
209	171	9	1	4.65142089025836E10	85.0	0.6	1.05	5.525	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
210	171	10	1	4.65152642679926E10	90.0	0.6	1.05	5.525	0.2	Cost not reduced at azimuth_angle+dazimuth_angle.
211	171	11	1	4.68621075667982E10	87.5	0.675	1.05	5.525	0.2	Cost not reduced at wwr_height1+dwwr_height1.
212	171	12	1	4.65278764356322E10	87.5	0.6	1.075	5.525	0.2	Cost not reduced at depth+ddepth.
213	171	13	1	4.65168633298427E10	87.5	0.6	1.025	5.525	0.2	Cost not reduced at depth-ddepth.
213	171	14	1	4.65131935282009E10	87.5	0.6	1.05	5.55	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
213	171	15	1	4.65129370951488E10	87.5	0.6	1.05	5.5	0.2	Cost not reduced at lbybratio_length-dlbybratio_length.
201	171	16	1	4.65127874374692E10	87.5	0.6	1.05	5.525	0.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
213	172	1	1	4.65127874374692E10	87.5	0.6	1.05	5.525	0.2	Exploration base, Delta = 0.125.
214	172	2	1	4.6512663176675E10	86.25	0.6	1.05	5.525	0.2	Cost reduced     at azimuth_angle-dazimuth_angle.
215	172	3	1	4.66919251987855E10	86.25	0.6375	1.05	5.525	0.2	Cost not reduced at wwr_height1+dwwr_height1.
216	172	4	1	4.65106039099436E10	86.25	0.6	1.0625	5.525	0.2	Cost reduced     at depth+ddepth.
217	172	5	1	4.65104874069325E10	86.25	0.6	1.0625	5.5375	0.2	Cost reduced     at lbybratio_length+dlbybratio_length.
217	172	6	1	4.65104874069325E10	86.25	0.6	1.0625	5.5375	0.2	Global search reduced cost.
218	173	1	1	4.65280302434544E10	85.0	0.6	1.075	5.55	0.2	Exploration base, Delta = 0.125.
219	173	2	1	4.65311020171813E10	83.75	0.6	1.075	5.55	0.2	Cost not reduced at azimuth_angle-dazimuth_angle.
220	173	3	1	4.65277251082793E10	86.25	0.6	1.075	5.55	0.2	Cost reduced     at azimuth_angle+dazimuth_angle.
221	173	4	1	4.66879067074026E10	86.25	0.6375	1.075	5.55	0.2	Cost not reduced at wwr_height1+dwwr_height1.
222	173	5	1	4.65257018431053E10	86.25	0.6	1.0875	5.55	0.2	Cost reduced     at depth+ddepth.
223	173	6	1	4.65259694100702E10	86.25	0.6	1.0875	5.5625	0.2	Cost not reduced at lbybratio_length+dlbybratio_length.
